041A1_4_412_1
118F1_4_312_3
030O1_1_114_1
076A1_1_312_1
407A1_1_312_3
116A1_1_313_2
189L1_2_313_3
213A1_1_214_2
428O1_4_414_1
428O1_4_414_2
087L1_3_414_2
087L1_3_414_3
270L1_2_414_1
445L1_1_414_1
246A1_4_313_1
046A1_2_414_1
043O1_6_113_2
043O1_6_113_3
386C1_2_410_1
161W1_1_414_1
374F1_2_414_1
397G1_1_213_2
193L1_2_415_3
317L1_1_209_2
104G1_1_414_3
122G1_6_414_1
122G1_6_414_2
228A1_2_114_2
080O1_6_414_2
257O1_1_414_3
096A1_1_312_1
007A1_3_213_3
027A1_2_213_3
347A1_3_213_1
347A1_3_213_3
053F1_4_312_1
080N1_3_411_1
160C1_1_312_1
287C1_2_312_3
491A1_0_112_3
080F1_1_213_3
017G1_4_312_2
012W1_3_113_2
465O1_1_114_3
187G1_1_114_3
045W1_3_213_1
081F1_5_211_2
246O1_2_113_3
147O1_2_214_3
027L1_5_312_3
074L1_1_312_2
074O1_5_214_1
074O1_5_214_2
074O1_5_214_3
247A1_2_413_2
090O1_6_113_1
238O1_6_313_2
030G1_4_412_3
110G1_1_412_1
168B1_1_212_3
182F1_3_212_3
454O1_2_215_2
224O1_5_313_3
471O1_1_314_2
029O1_3_414_1
029O1_3_414_2
153O1_1_313_1
153O1_1_313_3
418O1_1_413_2
034F1_4_114_3
388A1_2_111_1
241O1_1_113_2
250O1_1_113_2
052C1_3_213_1
114A1_2_312_1
028F1_4_214_1
028F1_4_214_2
388A1_2_116_1
010B1_3_112_1
010B1_3_112_3
122F1_1_213_3
451F1_1_314_1
176O1_2_313_1
176O1_2_313_3
174O1_1_313_1
465O1_1_114_2
079O1_1_114_1
477O1_0_315_1
477O1_0_315_3
225W1_1_413_3
234W1_3_415_3
