32048N1_1_413_13_94.60
32048N1_1_413_14_93.80
32048N1_1_413_15_92.40
005C2_1_412_1_81.00
005C2_2_213_1_81.00
019F2_1_212_1_120.00
019F2_1_212_3_120.00
048N1_2_213_1_94.60
048N1_2_213_2_93.80
048N1_2_213_3_92.40
056C1_4_212_1_83.00
056C1_4_212_2_83.00
056C1_4_212_3_83.00
056C1_4_212_5_83.00
056C1_4_213_1_83.00
056C1_4_213_2_83.00
056C1_4_213_3_83.00
056C1_4_213_5_83.00
134C1_1_213_1_138.00
134C1_1_213_2_138.00
134C1_1_213_3_138.00
134C1_1_413_1_138.00
134C1_1_413_2_138.00
134C1_1_413_3_138.00
32134C1_1_213_13_138.00
32134C1_1_213_14_138.00
32134C1_1_213_15_138.00
32134C1_1_413_1_138.00
32134C1_1_413_2_138.00
32134C1_1_413_3_138.00
42134C1_1_214_1_138.00
42134C1_1_214_2_138.00
42134C1_1_214_3_138.00
42134C1_1_7_138.00
42134C1_1_1_138.00
42134C1_1_8_138.00
42134C1_1_2_138.00
42134C1_1_9_138.00
42134C1_1_3_138.00
056C1_4_215_1_83.00
056C1_4_215_2_83.00
056C1_4_215_3_83.00
056C1_4_215_4_83.00
005C2_1_412_1_83.00
005C2_1_412_2_107.00
42048N1_1_116_1_94.60
42048N1_1_116_2_93.80
42048N1_1_116_3_92.40
40033C1_1_215_1_83.00
40033C1_1_215_2_83.00
40033C1_1_215_3_83.00
30033C1_1_1_64.90
30033C1_1_2_64.90
30033C1_1_3_64.90
30033C1_1_7_64.90
30033C1_1_8_64.90
30033C1_1_9_64.90
005C2_2_116_1_81.00
005C2_1_412_1_98.50
056C1_4_215_5_83.00
005C2_2_116_1_81.00
005C2_1_412_1_98.50
056C1_4_215_5_83.00
30033C1_1_212_7_85.90
30033C1_1_212_1_85.90
30033C1_1_212_2_85.80
30033C1_1_212_8_85.80
30033C1_1_212_3_85.50
30033C1_1_212_9_85.50
019F2_1_212_2_120.00
048N1_2_317_1_94.60
048N1_2_317_2_93.80
048N1_2_317_3_92.40
32134C1_1_413_138.00
32048N1_1_413_92.40
30033C1_1_212_85.50
32048N1_1_317_92.40
42134C1_1_138.00
42048N1_1_116_92.40
40033C1_1_117_64.90
42048N1_1_317_92.40
