32163N1;3;         1;S2 ;U
30057B5;1;         1;S2 ;U
30057B5;1;         1;S3 ;U
30074W1;2;         1;S1 ;U
30032B5;1;         1;S2 ;U
30032B5;1;         1;S3 ;U
30032B5;1;         1;S4 ;U
30022A5;1;         1;S2 ;U
30022A5;1;         1;S3 ;U
30022A5;1;         1;S4 ;U
30022A5;1;         1;S5 ;U
30022A5;1;         1;S6 ;U
30022A5;1;         1;S7 ;U
30022A5;1;         1;S8 ;U
30019B5;1;         1;S2 ;U
30019B5;1;         1;S3 ;U
30019B5;1;         1;S4 ;U
30193F1;3;         1;S1 ;U
32211F1;2;         1;S1 ;U
32093N1;3;         1;S1 ;U
30062B5;1;         1;S2 ;U
30062B5;1;         1;S3 ;U
30062B5;1;         1;S4 ;U
32306G1;4;         1;S1 ;U
30033B5;1;         1;S2 ;U
30033B5;1;         1;S3 ;U
30033B5;1;         1;S4 ;U
30033B5;1;         1;S5 ;U
30125B3;1;         1;S2 ;U
32354F1;3;         1;S1 ;U
30606F1;2;         1;S1 ;U
32340F1;2;         1;S1 ;U
32242C1;5;         1;S1 ;U
30014B5;1;         1;S2 ;U
30007B5;1;         1;S2 ;U
30013B5;1;         1;S2 ;U
30060B5;1;         1;S2 ;U
30060B5;1;         1;S3 ;U
30060B5;1;         1;S4 ;U
30060B5;1;         1;S5 ;U
30456G1;6;         1;S1 ;U
32437A1;2;         1;S1 ;U
30004O1;1;         1;S3 ;U
30030B5;1;         1;S2 ;U
30030B5;1;         1;S3 ;U
