118H1                                                                                                                        ;    229910;    207315;118H1_3_414;         6;        51;3;         1;00118H1;    229910;    207315;P2G  ;S3 ;      -229904.49;               0;       437168
385A1                                                                                                                        ;    196960;    239955;385A1_1_213;         5;        51;1;         1;00385A1;    196960;    239955;P2G  ;S1 ;      -196954.96;               0;       436858
233H1                                                                                                                        ;    224022;    212474;233H1_1_318;         5;        51;1;         1;00233H1;    224022;    212474;P2G  ;S1 ;      -224016.57;               0;       436439
088H1                                                                                                                        ;    240816;    195515;088H1_1_414;         6;        51;1;         1;00088H1;    240816;    195515;P2G  ;S1 ;      -240810.34;               0;       436274
133H1                                                                                                                        ;    224485;    211815;133H1_4_214;         5;        51;4;         1;00133H1;    224485;    211815;P2G  ;S4 ;      -224479.57;               0;       436243
028H1                                                                                                                        ;    221721;    214506;028H1_1_213;         5;        51;1;         1;00028H1;    221721;    214506;P2G  ;S1 ;      -221715.61;               0;       436170
214H1                                                                                                                        ;    220460;    215343;214H1_5_415;         5;        51;5;         1;00214H1;    220460;    215343;P2G  ;S5 ;      -220454.62;               0;       435746
017H3                                                                                                                        ;    223245;    211860;017H3_1_418;         5;        51;1;         1;00017H3;    223245;    211860;P2G  ;S1 ;      -223239.58;               0;       435048
019H1                                                                                                                        ;    244874;    190227;019H1_2_313;         6;        51;2;         1;00019H1;    244874;    190227;P2G  ;S2 ;      -244868.28;               0;       435044
238H1                                                                                                                        ;    231442;    203335;238H1_2_320;         6;        51;2;         1;00238H1;    231442;    203335;P2G  ;S2 ;      -231436.47;               0;       434720
121H1                                                                                                                        ;    236179;    198146;121H1_2_415;         6;        51;2;         1;00121H1;    236179;    198146;P2G  ;S2 ;       -236173.4;               0;       434268
140H1                                                                                                                        ;    233175;    200845;140H1_2_414;         6;        51;2;         1;00140H1;    233175;    200845;P2G  ;S2 ;      -233169.44;               0;       433963
006H3                                                                                                                        ;    221254;    212574;006H3_1_213;         5;        51;1;         1;00006H3;    221254;    212574;P2G  ;S1 ;      -221248.61;               0;       433771
168H1                                                                                                                        ;    243371;    190450;168H1_1_315;         6;        51;1;         1;00168H1;    243371;    190450;P2G  ;S1 ;       -243365.3;               0;       433764
235H1                                                                                                                        ;    244087;    189472;235H1_1_417;         6;        51;1;         1;00235H1;    244087;    189472;P2G  ;S1 ;      -244081.29;               0;       433502
117H1                                                                                                                        ;    226112;    207418;117H1_3_414;         5;        51;3;         1;00117H1;    226112;    207418;P2G  ;S3 ;      -226106.54;               0;       433473
