082H1                                           ;082H1;        19;5;                                                ;     ;
043W1                                           ;043W1;        19;1;                                                ;     ;
037A1                                           ;037A1;        19;2;                                                ;     ;
117L1                                           ;117L1;        19;6;                                                ;     ;
317C1                                           ;317C1;        19;7;317C1                                           ;MOV  ;6
292L1                                           ;292L1;        19;2;                                                ;     ;
083F1                                           ;083F1;        19;9;                                                ;     ;
082H1                                           ;082H1;        19;4;                                                ;     ;
199C1                                           ;199C1;        19;5;199C1                                           ;MOV  ;4
253L1                                           ;253L1;        19;7;                                                ;     ;
039H1                                           ;039H1;        19;7;039H1                                           ;MOV  ;2
039H1                                           ;039H1;        19;7;039H1                                           ;MOV  ;8
473O1                                           ;     ;          ; ;473O1                                           ;MOV  ;7
212G1                                           ;     ;          ; ;212G1                                           ;MOV  ;2
299L1                                           ;     ;          ; ;299L1                                           ;MOV  ;2
470A1                                           ;     ;          ; ;470A1                                           ;MOV  ;4
025G1                                           ;     ;          ; ;025G1                                           ;MOV  ;3
005C2                                           ;     ;          ; ;005C2                                           ;MOV  ;2
151F1                                           ;     ;          ; ;151F1                                           ;MOV  ;5
