40033B5;         1;1;S2 ;40033B5;LTE
40033B5;         1;1;S3 ;40033B5;LTE
40033B5;         1;1;S4 ;40033B5;LTE
40033B5;         1;1;S5 ;40033B5;LTE
40015A5;         1;4;S1 ;40015A5;LTE
40015A5;         1;4;S2 ;40015A5;LTE
40015A5;         1;4;S3 ;40015A5;LTE
40015A5;         1;4;S5 ;40015A5;LTE
40015A5;         1;4;S6 ;40015A5;LTE
40057B5;         1;1;S2 ;40057B5;LTE
40018B5;         1;1;S2 ;40018B5;LTE
40018B5;         1;1;S3 ;40018B5;LTE
40018B5;         1;1;S4 ;40018B5;LTE
40019B5;         1;1;S2 ;40019B5;LTE
40019B5;         1;1;S3 ;40019B5;LTE
40019B5;         1;1;S4 ;40019B5;LTE
40057B5;         1;1;S3 ;40057B5;LTE
40021B5;         1;1;S2 ;40021B5;LTE
40021B5;         1;1;S3 ;40021B5;LTE
40021B5;         1;1;S4 ;40021B5;LTE
40022A5;         1;1;S2 ;40022A5;LTE
40022A5;         1;1;S3 ;40022A5;LTE
40022A5;         1;1;S4 ;40022A5;LTE
40060B5;         1;1;S2 ;40060B5;LTE
40060B5;         1;1;S3 ;40060B5;LTE
40060B5;         1;1;S4 ;40060B5;LTE
40060B5;         1;1;S5 ;40060B5;LTE
40061B5;         1;1;S2 ;40061B5;LTE
40061B5;         1;1;S3 ;40061B5;LTE
40061B5;         1;1;S4 ;40061B5;LTE
40022A5;         1;1;S5 ;40022A5;LTE
40022A5;         1;1;S6 ;40022A5;LTE
40022A5;         1;1;S7 ;40022A5;LTE
40022A5;         1;1;S8 ;40022A5;LTE
40023A5;         1;1;S2 ;40023A5;LTE
40023A5;         1;1;S3 ;40023A5;LTE
40023A5;         1;1;S4 ;40023A5;LTE
40023A5;         1;1;S5 ;40023A5;LTE
40023B5;         1;1;S2 ;40023B5;LTE
40023B5;         1;1;S3 ;40023B5;LTE
40023B5;         1;1;S4 ;40023B5;LTE
40062B5;         1;1;S2 ;40062B5;LTE
40062B5;         1;1;S3 ;40062B5;LTE
40062B5;         1;1;S4 ;40062B5;LTE
40026B5;         1;1;S2 ;40026B5;LTE
40026B5;         1;1;S3 ;40026B5;LTE
40026B5;         1;1;S4 ;40026B5;LTE
40028B5;         1;1;S2 ;40028B5;LTE
40030B5;         1;1;S2 ;40030B5;LTE
40030B5;         1;1;S3 ;40030B5;LTE
40032B5;         1;1;S2 ;40032B5;LTE
40032B5;         1;1;S3 ;40032B5;LTE
40032B5;         1;1;S4 ;40032B5;LTE
40074W1;         1;2;S1 ;40074W1;LTE
40421G1;         1;4;S1 ;40421G1;LTE
42040N1;         1;3;S2 ;42040N1;LTE
41070A1;         1;2;S1 ;41070A1;LTE
42163N1;         1;3;S2 ;42163N1;LTE
