31158A1_1_408 ;31158A1_1_408_1 ;3085_UARFCN                                       ;         1
32407A1_1     ;32407A1_1_2     ;3085_UARFCN                                       ;         1
32407A1_1     ;32407A1_1_3     ;3085_UARFCN                                       ;         1
32407A1_1     ;32407A1_1_1     ;3085_UARFCN                                       ;         1
31264A1_2     ;31264A1_2_1     ;3085_UARFCN                                       ;         1
31264A1_2     ;31264A1_2_3     ;3085_UARFCN                                       ;         1
31264A1_2     ;31264A1_2_4     ;3085_UARFCN                                       ;         1
31264A1_2     ;31264A1_2_2     ;3085_UARFCN                                       ;         1
32015F1_1     ;32015F1_1_1     ;3085_UARFCN                                       ;         1
32015F1_1     ;32015F1_1_3     ;3085_UARFCN                                       ;         1
32015F1_1     ;32015F1_1_2     ;3085_UARFCN                                       ;         1
30044W1_1     ;30044W1_1_1     ;3085_UARFCN                                       ;         1
30044W1_1     ;30044W1_1_3     ;3085_UARFCN                                       ;         1
30044W1_1     ;30044W1_1_2     ;3085_UARFCN                                       ;         1
30614G1_1_414 ;30614G1_1_414_1 ;3085_UARFCN                                       ;         1
30614G1_1_414 ;30614G1_1_414_2 ;3085_UARFCN                                       ;         1
30614G1_1_414 ;30614G1_1_414_3 ;3085_UARFCN                                       ;         1
30026G1_1_321 ;30026G1_1_321_13;10836_UARFCN                                      ;         1
30026G1_1_321 ;30026G1_1_321_14;10836_UARFCN                                      ;         1
30026G1_1_321 ;30026G1_1_321_15;10836_UARFCN                                      ;         1
30043F1_1_313 ;30043F1_1_313_7 ;3085_UARFCN                                       ;         1
30043F1_1_313 ;30043F1_1_313_8 ;3085_UARFCN                                       ;         1
30043F1_1_313 ;30043F1_1_313_9 ;3085_UARFCN                                       ;         1
30043F1_1_313 ;30043F1_1_313_13;10836_UARFCN                                      ;         1
30043F1_1_313 ;30043F1_1_313_14;10836_UARFCN                                      ;         1
30043F1_1_313 ;30043F1_1_313_15;10836_UARFCN                                      ;         1
32374L1_4_315 ;32374L1_4_315_8 ;3085_UARFCN                                       ;         1
32374L1_4_315 ;32374L1_4_315_9 ;3085_UARFCN                                       ;         1
32374L1_4_315 ;32374L1_4_315_7 ;3085_UARFCN                                       ;         1
32374L1_4_315 ;32374L1_4_315_13;10836_UARFCN                                      ;         1
32374L1_4_315 ;32374L1_4_315_14;10836_UARFCN                                      ;         1
32374L1_4_315 ;32374L1_4_315_15;10836_UARFCN                                      ;         1
32214A1_1     ;32214A1_1_2     ;3085_UARFCN                                       ;         1
32214A1_1     ;32214A1_1_1     ;3085_UARFCN                                       ;         1
32214A1_1     ;32214A1_1_3     ;3085_UARFCN                                       ;         1
