40025C3_1_221                                     ;40025;C3;S1
40061B3_1_221                                     ;40061;B3;S1
42099M1_1_122                                     ;42099;M1;S1
42109M1_1_120                                     ;42109;M1;S1
42109M1_1_122                                     ;42109;M1;S1
42394A1_1_221                                     ;42394;A1;S1
42072M1_1_122                                     ;42072;M1;S1
42097M1_1_122                                     ;42097;M1;S1
40084A3_1_221                                     ;40084;A3;S1
42434M1_1_122                                     ;42434;M1;S1
42435M1_1_122                                     ;42435;M1;S1
42132M1_1_122                                     ;42132;M1;S1
42027M1_1_122                                     ;42027;M1;S1
42025M1_1_122                                     ;42025;M1;S1
42406M1_1_122                                     ;42406;M1;S1
42370M1_1_122                                     ;42370;M1;S1
