40114B1_1_121                                     ;B40114-WSL_R_DES_FLORALIES                        ;         1;30114B1_1_121 ;B30114-WSL_R_DES_FLORA                                                                                                                                                                                                                                         ;         1;U    ;085B1_3                       ;3085B1_312     ;B085-WSL_R_DES_FLORALIES                                    ;         1
40119F1_2_420                                     ;F40119-RO_GROOT_BIJGAARDEN                        ;         1;30119F1_2_420 ;F30119-RO_GROOT_BIJGAARDEN                                                                                                                                                                                                                                     ;         1;U    ;227F1_2                       ;2227F1_420     ;F227-GRO_CARTOMILLS                                         ;         1
40135L1_1_414                                     ;L40135-E313_A13_FEXE_SLINS                        ;         1;30135L1_1_414 ;L30135-E313_A13_FEXE_SLINS                                                                                                                                                                                                                                     ;         1;U    ;093L1_3                       ;3093L1_414     ;L093-E313_A13_FEXHE_SLINS                                   ;         1
40656C1_1_320                                     ;C40656-NIMY_CENTRE                                ;         1;30656C1_1_320 ;C30656-NIM_RUECLEROY                                                                                                                                                                                                                                           ;         1;U    ;355C1_1                       ;1355C1_414     ;C355-NIMY_CENTRE                                            ;         1
40590B1_1_121                                     ;B40590-WAT_LE_LOGISAV_VAN                         ;         1;30590B1_1_121 ;B30590-WAT_LE_LOGISAV_VAN_D                                                                                                                                                                                                                                    ;         1;U    ;193B1_1                       ;1193B1_121     ;B193-WAT_LE_LOGISAV_VAN_D                                   ;         1
40790C1_1_320                                     ;C40790-LEUZE_CTRE_GARE                            ;         1;30790C1_1_320 ;C30790-LEUZE_CTRE_GARE                                                                                                                                                                                                                                         ;         1;U    ;300C1_1                       ;1300C1_320     ;C300-LEUZE_CENTRE_GARE                                      ;         1
40686L1_1_414                                     ;L40686-N61_PPINSTR_EST                            ;         1;30686L1_1_414 ;L30686-N61_PPINSTR_EST                                                                                                                                                                                                                                         ;         1;U    ;387L1_2                       ;2387L1_414     ;L387-N61_PPINSTR_EAST                                       ;         1
40627F1_1_214                                     ;F40627-TIENEN_BOST                                ;         1;30627F1_1_214 ;F30627-TIENEN_BOST                                                                                                                                                                                                                                             ;         1;U    ;426F1_1                       ;1426F1_214     ;F426-DIEST_KAGGEVINN                                        ;         1
40639C1_1_214                                     ;C40639-MON_AVENUEDESBASSINS                       ;         1;30639C1_1_214 ;C30639-MON_AVENUEDESBASSINS                                                                                                                                                                                                                                    ;         1;U    ;364C1_3                       ;3364C1_412     ;C364-MONS_AVENUEDESBASSINS                                  ;         1
41006B1_1_120                                     ;B41006-BXL_THYSVANHAMSTRAAT                       ;         1;31006B1_1_120 ;B31006-BXL_THYSVANHAMSTRAAT                                                                                                                                                                                                                                    ;         1;U    ;064B1_5                       ;5064B1_120     ;B064-BXL_R_NEYBERGH                                         ;         1
40838B1_1_121                                     ;B40838-UCC_CHAUSSEE_DE_NEER                       ;         1;30838B1_1_121 ;B30838-UCC_CHAUSSEE_DE_NEER                                                                                                                                                                                                                                    ;         1;U    ;380B1_1                       ;1380B1_121     ;B380-UCC_CH_DE_NEERSTALLE                                   ;         1
42354F1_3_420                                     ;F42354-ZOUTLEEUW_PYL_P                            ;         1;32354F1_3_420 ;F32354-ZOUTLEEUW_PYL_P                                                                                                                                                                                                                                         ;         1;U    ;354F1_2                       ;4354F1_218     ;F354-ZOUTLEEUW_PYL_PROXI                                    ;         1
42369O1_1_315                                     ;O42369-WILDENBURG                                 ;         1;32369O1_1_315 ;O32369-WILDENBURG                                                                                                                                                                                                                                              ;         1;U    ;369O1_5                       ;5369O1_104     ;O369-BEERNEM                                                ;         1
42243C1_1_321                                     ;C42243-FRASNES                                    ;         1;32243C1_1_321 ;C32243-FRASNES_GENDARMERIE                                                                                                                                                                                                                                     ;         1;U    ;243C1_5                       ;5243C1_315     ;C243-FRASNES_GENDARMERIE                                    ;         1
42243C1_1_321                                     ;C42243-FRASNES                                    ;         1;32243C1_1_321 ;C32243-FRASNES_GENDARMERIE                                                                                                                                                                                                                                     ;         1;U    ;243C1_5                       ;5243C1_321     ;C243-FRASNES_GENDARMERIE                                    ;         1
43011N1_1_118                                     ;N43011-GEM_GRANDLEEZ                              ;         1;33011N1_1_118 ;N33011-GEM_GRANDLEEZ                                                                                                                                                                                                                                           ;         1;U    ;041N1_1                       ;1041N1_121     ;N041-NISMES                                                 ;         1
43032C1_1_218                                     ;C43032-BAU_TERTRE                                 ;         1;33032C1_1_218 ;C33032-BAU_TERTRE                                                                                                                                                                                                                                              ;         1;U    ;201C1_6                       ;6201C1_218     ;C201-BAUDOUR                                                ;         1
