30003B5_1_421 ;B30003-NMBS_PARLIAMEN_ST                                                                                                                                                                                                                                       ;NMBS_PARLIAMEN_ST                                                                                                                                                                                                                                       ;PARLIAMENT_STATION                                     ;         1;U    ;015B5_1                       ;1015B5_212     ;B015-PARLIAMENT_STATION                                     ;         1
30003C1_1_122 ;C30003-N29_FLEURUS                                                                                                                                                                                                                                             ;N29_FLEURUS                                                                                                                                                                                                                                             ;FLEURUS_CENTRE                                         ;         1;U    ;357C1_3                       ;3357C1_414     ;C357-FLEURUS_CENTRE                                         ;         1
30028C1_2_320 ;C30028-CH_LE_MAMBOURG                                                                                                                                                                                                                                          ;CH_LE_MAMBOURG                                                                                                                                                                                                                                          ;CH_LE_MAMBOURG_SWE                                     ;         1;U    ;150C1_9                       ;9150C1_313     ;C150-CH_LE_MAMBOURG_SWE                                     ;         1
30029B5_1_413 ;B30029-METRO_HALLEPOORT_3G                                                                                                                                                                                                                                     ;METRO_HALLEPOORT_3G                                                                                                                                                                                                                                     ;METRO_HALLEPOORT                                       ;         1;U    ;029B5_1                       ;1029B5_212     ;B029-METRO_HALLEPOORT                                       ;         1
30057W1_1_113 ;W30057-A30_BRNELALLEUD                                                                                                                                                                                                                                         ;A30_BRNELALLEUD                                                                                                                                                                                                                                         ;A30_BRAINELALLEUD                                      ;         1;U    ;001W1_5                       ;5001W1_113     ;W001-A30_BRAINELALLEUD                                      ;         1
30058A1_2_321 ;A30058-A12_KONTICH_EDEGEMSE                                                                                                                                                                                                                                    ;A12_KONTICH_EDEGEMSE                                                                                                                                                                                                                                    ;AARTSELAAR_DE_VIC                                      ;         1;U    ;135A1_1                       ;1135A1_312     ;A135-AARTSELAAR_DE_VIC                                      ;         1
30058C1_1_420 ;C30058-LA_LOUVIERE_PHT_DEBE                                                                                                                                                                                                                                    ;LA_LOUVIERE_PHT_DEBE                                                                                                                                                                                                                                    ;LA_LOUVIERE_PH_DEBERGHE                                ;         1;U    ;212C1_2                       ;2212C1_121     ;C212-LA_LOUVIERE_PH_DEBERGHE                                ;         1
30059C1_1_413 ;C30059-SOUVRET_LA_BAILL                                                                                                                                                                                                                                        ;SOUVRET_LA_BAILL                                                                                                                                                                                                                                        ;SOUVRET_LA_BAILLE                                      ;         1;U    ;159C1_1                       ;1159C1_313     ;C159-SOUVRET_LA_BAILLE                                      ;         1
30095C1_1_413 ;C30095-FAYT_LEZ_MANAGE_BELL                                                                                                                                                                                                                                    ;FAYT_LEZ_MANAGE_BELL                                                                                                                                                                                                                                    ;FAYT_LEZ_MANAGE                                        ;         1;U    ;213C1_4                       ;4213C1_414     ;C213-FAYT_LEZ_MANAGE                                        ;         1
30095F1_2_122 ;F30095-ELI_KERK                                                                                                                                                                                                                                                ;ELI_KERK                                                                                                                                                                                                                                                ;LEUVEN_WEST                                            ;         1;U    ;312F1_2                       ;2312F1_312     ;F312-LEUVEN_WEST                                            ;         1
30095R1_2_212 ;R30095-LRA_LOURTHE                                                                                                                                                                                                                                             ;LRA_LOURTHE                                                                                                                                                                                                                                             ;LAROCHE                                                ;         1;U    ;009R1_3                       ;3009R1_414     ;R009-LAROCHE                                                ;         1
30095W1_1_320 ;W30095-OTTIGNIES_ST_ET                                                                                                                                                                                                                                         ;OTTIGNIES_ST_ET                                                                                                                                                                                                                                         ;OTTIGNIES_ST_ETIENNE                                   ;         1;U    ;035W1_3                       ;3035W1_320     ;W035-OTTIGNIES_ST_ETIENNE                                   ;         1
30003F1_1_313 ;F30003-HEVERLEE_E40                                                                                                                                                                                                                                            ;HEVERLEE_E40                                                                                                                                                                                                                                            ;HEV_LEUVEN_HEVERLEE                                    ;         1;U    ;241F1_2                       ;2241F1_312     ;F241-HEV_LEUVEN_HEVERLEE                                    ;         1
